"";"en";"de";
"virus-href";"http://www.avira.com/de/support-virus-lab?vdl[sq]=";"http://www.avira.com/en/support-virus-lab?vdl[sq]=";
"virus-link";"View VIRUS in Avira malware database";"In der Avira-Virendatenbank nachschlagen";
"act-desinf";"remove infection";"Desinfizieren";
"act-delete";"delete file";"Löschen";
"act-none";"do nothing";"Nichts tun";
"cleaning";"Cleaning file FILENAME";"Desinfiziere Datei FILENAME";
"virus-href";"http://www.avira.com/de/support-virus-lab?vdl[sq]=";"http://www.avira.com/en/support-virus-lab?vdl[sq]=";
"virus-link";"View VIRUS in Avira malware database";"In der Avira-Virendatenbank nachschlagen";
"act-desinf";"remove infection";"Desinfizieren";
"act-delete";"delete file";"Löschen";
"act-none";"do nothing";"Nichts tun";
"cleaning";"Cleaning file FILENAME";"Desinfiziere Datei FILENAME";
