"";"en";"de";
"clone_start";"<b>Clone your hard disk</b>
	
Your internal hard disk shows errors? Clone it to a new drive of the same or larger size. Unreadable blocks will be tried several times, thus the damage can be minimized. After cloning you might use a tool like GParted to add partitions or change their size.";"<b>Festplatte klonen</b>
	
Ihre Festplatte weist Fehler auf? Klonen Sie die alte Platte auf ein neues Laufwerk der gleichen Größe oder größer. Bei beschädigten Blöcken wird mehrfach versucht, diese zu lesen. Das minimiert die Zahl unrettbarer Dateien. Nach dem Klonen können Sie mit einem Partitionierungswerkzeug wie GParted Partitionen hinzufügen oder vorhandene vergrößern.";
"start_label";"<b>Clone your hard disk</b>
Your internal hard disk shows errors? Clone it to a new drive of the same or larger size. Unreadable blocks will be tried several times, thus the damage can be minimized.";"<b>Festplatte klonen</b>
Ihre interne Festplatte zeigt Fehler? Klonen Sie die Festplatte auf ein wenigstens gleich großes Laufwerk. Beschädigte Blöcke werden mehrfach gelesen.";
"please_select_source";"Please select the source drive";"Wählen Sie das Quelllaufwerk aus";
"please_select_target";"Please select the target drive";"Wählen Sie das Ziellaufwerk aus";
"clone_running";"<b>Cloning in progress</b>
	
Depending on size and damage of your hard drive cloning typically takes between several minutes and several days. The progress bar indicates the remaining time. Click on ""Show details"" to see more detailed statistics.";"<b>Festplatte wird geklont</b>
	
Abhängig von Größe, Geschwindigkeit und Grad der Beschädigung kann das Klonen eines Laufwerkes von wenigen Minuten bis zu mehreren Tagen dauern Der Fortschrittsbalken zeigt den aktuellen Status. Klicken Sie auf ""Details anzeigen"" um detaillierte Statistiken zu sehen.";
"details";"Show details";"Details anzeigen";
"clone_progress_percentage";"Cloning in progress - %PERCENTAGE%% done";"Platte wird geklont - %PERCENTAGE%% abgeschlossen";
"clone_vte";"<b>Cloning in progress - details</b>
	
This window shows the raw output of the background process. You can view information on errors and the current state here. Click ""OK"" to switch back to the progress bar.";"<b>Platte wird geklont - Details</b>
	
Dieses Fenster zeigt die Ausgabe der Hintergrundprozesse. Klicken Sie auf ""OK"" um zum Fortschrittsbalken zurückzuschalten.";
"source_target_identical";"Source and target drive must not be identical. Please select a different target device.";"Quell- und Ziellaufwerk dürfen nicht identisch sein. Bitte ändern Sie Ihre Auswahl.";
"target_smaller_than_source";"The target device is smaller than the source. Please use a tool like Gparted to estimate the amaount of data that will be insufficiently copied. Afterwards click ""OK"" to clone anyway or ""Cancel"" to skip.";"Das ausgewählte Ziellaufwerk ist kleiner als das Quelllaufwerk. Bitte benutzen Sie ein Werkzeug wie Gparted, um abschätzen zu können, wie groß der daraus resultierende Datenverlust ist. Klicken Sie dann ""OK"" um dennoch zu klonen, oder ""Abbrechen"" um den Vorgang nicht durchzuführen.";
"really_overwrite";"Cloning will completely overwrite the target device. Are you sure?";"Beim Klonen wird das Ziellaufwerk komplett überschrieben. Sind Sie sicher, dass Sie dies tun wollen?";
"clone_start";"<b>Clone your hard disk</b>
	
Your internal hard disk shows errors? Clone it to a new drive of the same or larger size. Unreadable blocks will be tried several times, thus the damage can be minimized. After cloning you might use a tool like GParted to add partitions or change their size.";"<b>Festplatte klonen</b>
	
Ihre Festplatte weist Fehler auf? Klonen Sie die alte Platte auf ein neues Laufwerk der gleichen Größe oder größer. Bei beschädigten Blöcken wird mehrfach versucht, diese zu lesen. Das minimiert die Zahl unrettbarer Dateien. Nach dem Klonen können Sie mit einem Partitionierungswerkzeug wie GParted Partitionen hinzufügen oder vorhandene vergrößern.";
"start_label";"<b>Clone your hard disk</b>
Your internal hard disk shows errors? Clone it to a new drive of the same or larger size. Unreadable blocks will be tried several times, thus the damage can be minimized.";"<b>Festplatte klonen</b>
Ihre interne Festplatte zeigt Fehler? Klonen Sie die Festplatte auf ein wenigstens gleich großes Laufwerk. Beschädigte Blöcke werden mehrfach gelesen.";
"please_select_source";"Please select the source drive";"Wählen Sie das Quelllaufwerk aus";
"please_select_target";"Please select the target drive";"Wählen Sie das Ziellaufwerk aus";
"clone_running";"<b>Cloning in progress</b>
	
Depending on size and damage of your hard drive cloning typically takes between several minutes and several days. The progress bar indicates the remaining time. Click on ""Show details"" to see more detailed statistics.";"<b>Festplatte wird geklont</b>
	
Abhängig von Größe, Geschwindigkeit und Grad der Beschädigung kann das Klonen eines Laufwerkes von wenigen Minuten bis zu mehreren Tagen dauern Der Fortschrittsbalken zeigt den aktuellen Status. Klicken Sie auf ""Details anzeigen"" um detaillierte Statistiken zu sehen.";
"details";"Show details";"Details anzeigen";
"clone_progress_percentage";"Cloning in progress - %PERCENTAGE%% done";"Platte wird geklont - %PERCENTAGE%% abgeschlossen";
"clone_vte";"<b>Cloning in progress - details</b>
	
This window shows the raw output of the background process. You can view information on errors and the current state here. Click ""OK"" to switch back to the progress bar.";"<b>Platte wird geklont - Details</b>
	
Dieses Fenster zeigt die Ausgabe der Hintergrundprozesse. Klicken Sie auf ""OK"" um zum Fortschrittsbalken zurückzuschalten.";
"source_target_identical";"Source and target drive must not be identical. Please select a different target device.";"Quell- und Ziellaufwerk dürfen nicht identisch sein. Bitte ändern Sie Ihre Auswahl.";
"target_smaller_than_source";"The target device is smaller than the source. Please use a tool like Gparted to estimate the amaount of data that will be insufficiently copied. Afterwards click ""OK"" to clone anyway or ""Cancel"" to skip.";"Das ausgewählte Ziellaufwerk ist kleiner als das Quelllaufwerk. Bitte benutzen Sie ein Werkzeug wie Gparted, um abschätzen zu können, wie groß der daraus resultierende Datenverlust ist. Klicken Sie dann ""OK"" um dennoch zu klonen, oder ""Abbrechen"" um den Vorgang nicht durchzuführen.";
"really_overwrite";"Cloning will completely overwrite the target device. Are you sure?";"Beim Klonen wird das Ziellaufwerk komplett überschrieben. Sind Sie sicher, dass Sie dies tun wollen?";
