"";"en";"de";
"firefox_start";"<b>Extract Firefox profiles or password databases</b>

Automatically search Firefox profiles and either copy them to the running forensic system as a whole (also providing access to cache and history) or just extract stored passwords. Please choose the partitions where we should search for Firefox profiles.";"<b>Firefox-Profile oder Passwörter extrahieren</b>

Finden Sie Firefox-Profile auf Festplatte und kopieren Sie diese komplett ins Forensik-System (Sie haben dann auch Zugriff auf Cache und History) oder extrahieren Sie nur die gespeicherten Passwörter. Wählen Sie nun die Partitionen, auf denen nach Firefox-Profilen gesucht werden soll.";
"firefox_profiles";"<b>Select Firefox profile</b>

Please choose now the Firefox profile to copy to the forensic system. With the button below you decide whether to copy the wohle profile or just the password database. ";"<b>Firefox-Profil auswählen</b>

Wählen Sie nun das Firefox-Profil, welches ins Forensik-System kopiert werden soll aus. Mit dem Button darunter legen Sie fest, ob das gesamte Profil oder nur die Passwortdatenbank kopiert werden soll.";
"onlypasswords";"Only password database";"Nur Passwörter";
"wholeprofile";"Full profile";"Komplettes Profil";
"no_profile_found";"No Firefox profile found";"Kein Firefox-Profil gefunden";
"please_select_partition";"Please select at least one partition to search on.";"Bitte wählen Sie wenigstens eine Partition, auf der nach Outlook-Postfächern gesucht werden soll!";
"please_select_profile";"No Firefox profile found! Please go back and start searching on a different partition";"Kein Firefox-Profil gefunden! Bitte gehen Sie zurück und lassen Sie auf anderen Partitionen suchen.";
"traversing";"Checking:";"Untersuche:";
"be_patient";"Be patient";"Bitte Geduld";
"noteinuse";"PARTITIONNAME - in use!";"PARTITIONNAME - wird momentan benutzt";
"notesystem";"PARTITIONNAME - system partition of the forensic system";"PARTITIONNAME - Systempartition des Forensik-Systems";
"traversing";"Checking:";"Untersuche:";
"be_patient";"Be patient";"Bitte Geduld";
"fullhtml";"/etc/lesslinux/branding/ffpasswords.en.html";"/etc/lesslinux/branding/ffpasswords.de.html";
"passhtml";"/etc/lesslinux/branding/ffpasswords.en.html";"/etc/lesslinux/branding/ffpasswords.de.html";
"firefox_start";"<b>Extract Firefox profiles or password databases</b>

Automatically search Firefox profiles and either copy them to the running forensic system as a whole (also providing access to cache and history) or just extract stored passwords. Please choose the partitions where we should search for Firefox profiles.";"<b>Firefox-Profile oder Passwörter extrahieren</b>

Finden Sie Firefox-Profile auf Festplatte und kopieren Sie diese komplett ins Forensik-System (Sie haben dann auch Zugriff auf Cache und History) oder extrahieren Sie nur die gespeicherten Passwörter. Wählen Sie nun die Partitionen, auf denen nach Firefox-Profilen gesucht werden soll.";
"firefox_profiles";"<b>Select Firefox profile</b>

Please choose now the Firefox profile to copy to the forensic system. With the button below you decide whether to copy the wohle profile or just the password database. ";"<b>Firefox-Profil auswählen</b>

Wählen Sie nun das Firefox-Profil, welches ins Forensik-System kopiert werden soll aus. Mit dem Button darunter legen Sie fest, ob das gesamte Profil oder nur die Passwortdatenbank kopiert werden soll.";
"onlypasswords";"Only password database";"Nur Passwörter";
"wholeprofile";"Full profile";"Komplettes Profil";
"no_profile_found";"No Firefox profile found";"Kein Firefox-Profil gefunden";
"please_select_partition";"Please select at least one partition to search on.";"Bitte wählen Sie wenigstens eine Partition, auf der nach Outlook-Postfächern gesucht werden soll!";
"please_select_profile";"No Firefox profile found! Please go back and start searching on a different partition";"Kein Firefox-Profil gefunden! Bitte gehen Sie zurück und lassen Sie auf anderen Partitionen suchen.";
"traversing";"Checking:";"Untersuche:";
"be_patient";"Be patient";"Bitte Geduld";
"noteinuse";"PARTITIONNAME - in use!";"PARTITIONNAME - wird momentan benutzt";
"notesystem";"PARTITIONNAME - system partition of the forensic system";"PARTITIONNAME - Systempartition des Forensik-Systems";
"please_select_partition";"Please select at least one partition to search on.";"Bitte wählen Sie wenigstens eine Partition, auf der nach Outlook-Postfächern gesucht werden soll!";
"traversing";"Checking:";"Untersuche:";
"be_patient";"Be patient";"Bitte Geduld";
"fullhtml";"/etc/lesslinux/branding/ffpasswords.en.html";"/etc/lesslinux/branding/ffpasswords.de.html";
"passhtml";"/etc/lesslinux/branding/ffpasswords.en.html";"/etc/lesslinux/branding/ffpasswords.de.html";
