"";"en";"de";"pl";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Napęd źródłowy zamontowany";
"source_mounted_text";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";"Das Quelllaufwerk befindet sich im Zugriff. Der nur-lesbare Zugriff stellt kein Problem dar, doch stellen Sie sicher, dass kein Schreibzugriff erfolgt. Wollen Sie wirklich mit dem Klonen beginnen?";"Urządzenie źródłowe jest nadal zamontowane. Dostęp w trybie do odczytu nie stanowi problemu, ale upewnij się, że źródło nie jest zamontowane z opcją zapisu. Czy na pewno chcesz kontynuować?";
"partition";"Partition";"Partition";"Partycja";
"disk";"Full disk";"Gesamte Festplatte";"Cały dysk";
"reread";"Reread";"Neu einlesen";"Wczytaj ponownie";
"conversion_running";"Conversion running - PERCENTAGE% done";"Rettung läuft - ca. PERCENTAGE% abgeschlossen";"Imaging running - PERCENTAGE% done";
"failed";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"failed_long";"The conversion failed. A possible cause might be a too small target directory.";"Die Rettung ist fehlgeschlagen. Ein möglicher Grund ist nicht ausreichender Platz im Zielordner.";"The conversion failed. A possible cause might be a too small target directory.";
"failed_pgbar";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"success";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"success_long";"The imaging was successful. You can now rescue data from the image with PhotoRec, mount the image or use dd to transfer it to a new drive.";"Die Rettung war erfolgreich. Sie können das Festplattenimage nun mit dd auf eine neue Platte übertragen, mit PhotoRec nach Dateien suchen oder das Image mounten.";"The imaging was successful. You can use PhotoRec to rescue data from the image, mount the image or use dd to transfer it to a new hard disk.";
"success_pgbar";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"target_exists";"Target file exists";"Zieldatei existiert bereits";"Target file exists";
"target_exists_long";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";"Die Zieldatei FILENAME existiert bereits, bitte löschen Sie die Datei oder wählen Sie einen anderen Zielordner.";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";
"target_too_small";"Target too small";"Zu wenig Platz im Zielordner";"Target too small";
"target_too_small_long";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";"Je nach Zahl der belegten Blöcke des Quellaufwerkes ist im Zielordner möglicherweise nicht genügend Platz. Dennoch versuchen?";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";
"pgbar_second_run";"Second run - trying to rescue from bad blocks";"Zweiter Lauf - rette Daten von defekten Blöcken";"Second run - trying to rescue from bad blocks";
"ddrescue_details";"Details - output of the ddrescue process";"Ausgabe des Prozesses";"";
"image_start";"<b>Create image of disk drive</b>
	
Create the image of a whole disk or a partition. The image is bit-identical, which makes forensic analyses easier. On damaged drives an intelligent method is used to recover as much data as possible.";"<b>Festplattenabbild erstellen</b>
	
Erstellen Sie das Abbild einer kompletten Festplatte oder einer Partition. Das Abbild wird bitgetreu erzeugt, was spätere forensische Analysen erleichtert. Bei defekten Festplatten wird eine intelligente Taktik angewandt, um möglichst viele Daten zu retten. Bitte wählen Sie nun das Quelllaufwerk aus:";"";
"image_target";"Target directory";"Zielverzeichnis";"";
"mount_drives";"Mount drives";"Laufwerke einbinden";"";
"select_target_dir";"Please select target directory";"Bitte Zielverzeichnis auswählen";"";
"imaging_running";"<b>Creation of image in progress</b>
	
The imaging of the selected drive is in progress. Depending on the damages of the drive this process may take between a few minutes and several days. When cancelled after the first part of the recovery, a large percentage of data will be accessible.";"<b>Festplattenabbild wird erstellt</b>
	
Das Abbild der ausgewählten Festplatte wird erstellt. Je nach Beschädigung der Platte kann der Prozess von wenigen Minuten bis zu mehreren Tagen dauern. Im Falle eines Abbruchs wird ein Großteil der geretten Daten zugänglich sein.";"";
"image_start";"<b>Create image of disk drive</b>
	
Create the image of a whole disk or a partition. The image is bit-identical, which makes forensic analyses easier. On damaged drives an intelligent method is used to recover as much data as possible.";"<b>Festplattenabbild erstellen</b>
	
Erstellen Sie das Abbild einer kompletten Festplatte oder einer Partition. Das Abbild wird bitgetreu erzeugt, was spätere forensische Analysen erleichtert. Bei defekten Festplatten wird eine intelligente Taktik angewandt, um möglichst viele Daten zu retten. Bitte wählen Sie nun das Quelllaufwerk aus:";"";
"imaging_running";"<b>Creation of image in progress</b>
	
The imaging of the selected drive is in progress. Depending on the damages of the drive this process may take between a few minutes and several days. When cancelled after the first part of the recovery, a large percentage of data will be accessible.";"<b>Festplattenabbild wird erstellt</b>
	
Das Abbild der ausgewählten Festplatte wird erstellt. Je nach Beschädigung der Platte kann der Prozess von wenigen Minuten bis zu mehreren Tagen dauern. Im Falle eines Abbruchs wird ein Großteil der geretten Daten zugänglich sein.";"";
"ddrescue_details";"Details - output of the ddrescue process";"Ausgabe des Prozesses";"";
"image_target";"Target directory";"Zielverzeichnis";"";
"mount_drives";"Mount drives";"Laufwerke einbinden";"";
"select_target_dir";"Please select target directory";"Bitte Zielverzeichnis auswählen";"";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Napęd źródłowy zamontowany";
"source_mounted_text";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";"Das Quelllaufwerk befindet sich im Zugriff. Der nur-lesbare Zugriff stellt kein Problem dar, doch stellen Sie sicher, dass kein Schreibzugriff erfolgt. Wollen Sie wirklich mit dem Klonen beginnen?";"Urządzenie źródłowe jest nadal zamontowane. Dostęp w trybie do odczytu nie stanowi problemu, ale upewnij się, że źródło nie jest zamontowane z opcją zapisu. Czy na pewno chcesz kontynuować?";
"partition";"Partition";"Partition";"Partycja";
"disk";"Full disk";"Gesamte Festplatte";"Cały dysk";
"reread";"Reread";"Neu einlesen";"Wczytaj ponownie";
"conversion_running";"Conversion running - PERCENTAGE% done";"Rettung läuft - ca. PERCENTAGE% abgeschlossen";"Imaging running - PERCENTAGE% done";
"failed";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"failed_long";"The conversion failed. A possible cause might be a too small target directory.";"Die Rettung ist fehlgeschlagen. Ein möglicher Grund ist nicht ausreichender Platz im Zielordner.";"The conversion failed. A possible cause might be a too small target directory.";
"failed_pgbar";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"success";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"success_long";"The imaging was successful. You can now rescue data from the image with PhotoRec, mount the image or use dd to transfer it to a new drive.";"Die Rettung war erfolgreich. Sie können das Festplattenimage nun mit dd auf eine neue Platte übertragen, mit PhotoRec nach Dateien suchen oder das Image mounten.";"The imaging was successful. You can use PhotoRec to rescue data from the image, mount the image or use dd to transfer it to a new hard disk.";
"success_pgbar";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"target_exists";"Target file exists";"Zieldatei existiert bereits";"Target file exists";
"target_exists_long";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";"Die Zieldatei FILENAME existiert bereits, bitte löschen Sie die Datei oder wählen Sie einen anderen Zielordner.";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";
"target_too_small";"Target too small";"Zu wenig Platz im Zielordner";"Target too small";
"target_too_small_long";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";"Je nach Zahl der belegten Blöcke des Quellaufwerkes ist im Zielordner möglicherweise nicht genügend Platz. Dennoch versuchen?";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";
"pgbar_second_run";"Second run - trying to rescue from bad blocks";"Zweiter Lauf - rette Daten von defekten Blöcken";"Second run - trying to rescue from bad blocks";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Napęd źródłowy zamontowany";
"source_mounted_text";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";"Das Quelllaufwerk befindet sich im Zugriff. Der nur-lesbare Zugriff stellt kein Problem dar, doch stellen Sie sicher, dass kein Schreibzugriff erfolgt. Wollen Sie wirklich mit dem Klonen beginnen?";"Urządzenie źródłowe jest nadal zamontowane. Dostęp w trybie do odczytu nie stanowi problemu, ale upewnij się, że źródło nie jest zamontowane z opcją zapisu. Czy na pewno chcesz kontynuować?";
"partition";"Partition";"Partition";"Partycja";
"disk";"Full disk";"Gesamte Festplatte";"Cały dysk";
"reread";"Reread";"Neu einlesen";"Wczytaj ponownie";
"failed";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"failed_long";"The conversion failed. A possible cause might be a too small target directory.";"Die Rettung ist fehlgeschlagen. Ein möglicher Grund ist nicht ausreichender Platz im Zielordner.";"The conversion failed. A possible cause might be a too small target directory.";
"failed_pgbar";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"success";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"success_long";"The imaging was successful. You can now rescue data from the image with PhotoRec, mount the image or use dd to transfer it to a new drive.";"Die Rettung war erfolgreich. Sie können das Festplattenimage nun mit dd auf eine neue Platte übertragen, mit PhotoRec nach Dateien suchen oder das Image mounten.";"The imaging was successful. You can use PhotoRec to rescue data from the image, mount the image or use dd to transfer it to a new hard disk.";
"success_pgbar";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"target_exists";"Target file exists";"Zieldatei existiert bereits";"Target file exists";
"target_exists_long";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";"Die Zieldatei FILENAME existiert bereits, bitte löschen Sie die Datei oder wählen Sie einen anderen Zielordner.";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";
"target_too_small";"Target too small";"Zu wenig Platz im Zielordner";"Target too small";
"target_too_small_long";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";"Je nach Zahl der belegten Blöcke des Quellaufwerkes ist im Zielordner möglicherweise nicht genügend Platz. Dennoch versuchen?";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";
