"";"en";"de";"pl";
"noteinuse";"PARTITIONNAME - currently in use!";"PARTITIONNAME - wird momentan benutzt";"PARTITIONNAME - aktualnie jest używana";
"notesystem";"PARTITIONNAME - system partition of the forensic system";"PARTITIONNAME - Systempartition des Forensik-Systems";"PARTITIONNAME - partycja systemowa ratunkowego systemu USB";
"free_space_not_sufficient";"Insufficient free space: To convert Outlook mailboxes temporary storage is needed - either in memory or on the USB drive. Please use a larger USB drive!";"Nicht genügend freier Speicher: Zur Konvertierung von Outlook-Postfächern wird temporärer Speicher benötigt - entweder im Arbeitsspeicher oder auf dem Backup-Medium: Bitte verwenden Sie einen größeren USB-Stick!";"Za mało wolnej pamięci: do konwersji skrzynek Outlooka potrzebna jest pamięć tymczasowa - albo w pamięci roboczej, albo na nośniku backupu: proszę użyć większej pamięci USB!";
"remove_folder_afterwards";"Temporary files are copied to the folder Outlook-Import on the USB drive. Please remove this folder afterwards!";"Temporäre Dateien werden in den Ordner Outlook-Import auf dem Backup-Medium kopiert. Bitte löschen Sie diesen Ordner später!";"Pliki tymczasowe zostaną skopiowane do foldera Outlook-Import na nośniku backupu. Proszę później skasować ten folder!";
"no_mailbox_checked";"Please select at least one Outlook mailbox to be converted.";"Bitte wählen Sie wenigstens eine Outlook-Datenbank zur Konvertierung aus!";"Proszę wybrac do konwersji przynajmniej jedną bazę danych Outlooka!";
"please_select_partition";"Please select at least one partition where Outlook mailboxes should be searched.";"Bitte wählen Sie wenigstens eine Partition, auf der nach Outlook-Postfächern gesucht werden soll!";"Prosze wybrać przynajmniej jedną partycję, na której należy szukać skrzynek pocztowych Outlooka!";
"traversing";"Checking:";"Untersuche:";"Przeszukaj";
"be_patient";"Please be patient";"Bitte Geduld";"Proszę o cierpliwość";
"no_pst_database_found";"On the selected partitions no (usable) PST files could be found!";"Auf den ausgewählten Partitionen wurden keine oder keine analysierbaren PST-Dateien gefunden!";"Na wybranych partycjach nie znaleziono żadnych albo żadnych dających się przeanalizować plików PST!";
"outlook_mailbox";"<b>Select mailboxes for conversion</b>
	
Select the mailboxes to be converted. After conversion Thunderbird will be opened and enable you to read, copy, save or move mails from the found mailboxes. If you accidentially closed Thunderbird, open it again from the menu.";"<b>Mailboxen zur Konvertierung auswählen</b>
	
Wählen Sie nun die zu konvertierenden Mailboxen aus. Nach der Konvertierung wird automatisch Thunderbird geöffnet und Sie können Mails aus den gefundenen Mailboxen lesen, kopieren, speichern oder in andere Postfächer verschieben. Wenn Sie Thunderbird versehentlich geschlossen haben, können Sie ihn über das Menü links unten wieder öffnen.";"";
"outlook_start";"<b>Analyze Outlook mailboxes</b>

This program converts Outlook mailboxes to the more common MBOX format. Found mailboxes will be added to Thunderbirds folder structure. This way you can even save mails from (partially) damaged Outlook mailboxes.";"<b>Outlook-Mailboxen untersuchen</b>
	
Diese Funktion erlaubt die Umwandlung von Outlook-Mailboxen in das unter Linux häufig verwendete MBOX-Format. Gefundene Outlook-Mailboxen werden automatisch in die Thunderbird-Ordnerstruktur eingebunden. So können Sie Mails auch aus (leicht) beschädigten Outlook-Dateien herausziehen.";"";
"outlook_mailbox";"<b>Select mailboxes for conversion</b>
	
Select the mailboxes to be converted. After conversion Thunderbird will be opened and enable you to read, copy, save or move mails from the found mailboxes. If you accidentially closed Thunderbird, open it again from the menu.";"<b>Mailboxen zur Konvertierung auswählen</b>
	
Wählen Sie nun die zu konvertierenden Mailboxen aus. Nach der Konvertierung wird automatisch Thunderbird geöffnet und Sie können Mails aus den gefundenen Mailboxen lesen, kopieren, speichern oder in andere Postfächer verschieben. Wenn Sie Thunderbird versehentlich geschlossen haben, können Sie ihn über das Menü links unten wieder öffnen.";"";
"outlook_start";"<b>Analyze Outlook mailboxes</b>

This program converts Outlook mailboxes to the more common MBOX format. Found mailboxes will be added to Thunderbirds folder structure. This way you can even save mails from (partially) damaged Outlook mailboxes.";"<b>Outlook-Mailboxen untersuchen</b>
	
Diese Funktion erlaubt die Umwandlung von Outlook-Mailboxen in das unter Linux häufig verwendete MBOX-Format. Gefundene Outlook-Mailboxen werden automatisch in die Thunderbird-Ordnerstruktur eingebunden. So können Sie Mails auch aus (leicht) beschädigten Outlook-Dateien herausziehen.";"";
"noteinuse";"PARTITIONNAME - currently in use!";"PARTITIONNAME - wird momentan benutzt";"PARTITIONNAME - aktualnie jest używana";
"notesystem";"PARTITIONNAME - system partition of the forensic system";"PARTITIONNAME - Systempartition des Forensik-Systems";"PARTITIONNAME - partycja systemowa ratunkowego systemu USB";
"free_space_not_sufficient";"Insufficient free space: To convert Outlook mailboxes temporary storage is needed - either in memory or on the USB drive. Please use a larger USB drive!";"Nicht genügend freier Speicher: Zur Konvertierung von Outlook-Postfächern wird temporärer Speicher benötigt - entweder im Arbeitsspeicher oder auf dem Backup-Medium: Bitte verwenden Sie einen größeren USB-Stick!";"Za mało wolnej pamięci: do konwersji skrzynek Outlooka potrzebna jest pamięć tymczasowa - albo w pamięci roboczej, albo na nośniku backupu: proszę użyć większej pamięci USB!";
"remove_folder_afterwards";"Temporary files are copied to the folder Outlook-Import on the USB drive. Please remove this folder afterwards!";"Temporäre Dateien werden in den Ordner Outlook-Import auf dem Backup-Medium kopiert. Bitte löschen Sie diesen Ordner später!";"Pliki tymczasowe zostaną skopiowane do foldera Outlook-Import na nośniku backupu. Proszę później skasować ten folder!";
"no_mailbox_checked";"Please select at least one Outlook mailbox to be converted.";"Bitte wählen Sie wenigstens eine Outlook-Datenbank zur Konvertierung aus!";"Proszę wybrac do konwersji przynajmniej jedną bazę danych Outlooka!";
"please_select_partition";"Please select at least one partition where Outlook mailboxes should be searched.";"Bitte wählen Sie wenigstens eine Partition, auf der nach Outlook-Postfächern gesucht werden soll!";"Prosze wybrać przynajmniej jedną partycję, na której należy szukać skrzynek pocztowych Outlooka!";
"traversing";"Checking:";"Untersuche:";"Przeszukaj";
"be_patient";"Please be patient";"Bitte Geduld";"Proszę o cierpliwość";
"no_pst_database_found";"On the selected partitions no (usable) PST files could be found!";"Auf den ausgewählten Partitionen wurden keine oder keine analysierbaren PST-Dateien gefunden!";"Na wybranych partycjach nie znaleziono żadnych albo żadnych dających się przeanalizować plików PST!";
