"";"en";"de";"pl";
"backupdir";"backup directory";"Sicherung";"zabezpieczenie";
"cancel";"Click here to cancel and go back.";"Klicken Sie hier, um abzubrechen und zum Startbildschirm zurückzukehren.";"Kliknij tutaj, aby anulować i powrócić do ekranu startowego.";
"question";"Question";"Frage";"Frage";
"error";"Error";"Fehler";"Fehler";
"decision";"Please decide:";"Bitte entscheiden Sie:";"Bitte entscheiden Sie:";
"success";"Success!";"Aktion erfolgreich abgeschlossen";"Aktion erfolgreich abgeschlossen";
"backupdir";"backup directory";"Sicherung";"zabezpieczenie";
"cancel";"Click here to cancel and go back.";"Klicken Sie hier, um abzubrechen und zum Startbildschirm zurückzukehren.";"Kliknij tutaj, aby anulować i powrócić do ekranu startowego.";
"question";"Question";"Frage";"Frage";
"error";"Error";"Fehler";"Fehler";
"decision";"Please decide:";"Bitte entscheiden Sie:";"Bitte entscheiden Sie:";
"success";"Success!";"Aktion erfolgreich abgeschlossen";"Aktion erfolgreich abgeschlossen";
"backupdir";"backup directory";"Sicherung";"zabezpieczenie";
"cancel";"Click here to cancel and go back.";"Klicken Sie hier, um abzubrechen und zum Startbildschirm zurückzukehren.";"Kliknij tutaj, aby anulować i powrócić do ekranu startowego.";
"question";"Question";"Frage";"Frage";
"error";"Error";"Fehler";"Fehler";
"decision";"Please decide:";"Bitte entscheiden Sie:";"Bitte entscheiden Sie:";
"success";"Success!";"Aktion erfolgreich abgeschlossen";"Aktion erfolgreich abgeschlossen";
