"";"en";"de";
"vss_start";"<b>Access Volume Shadow Snapshots</b>
	
NTFS regularily takes snapshots of the complete filesystem in order to be able to roll back after updates. Usually at least three snapshots per NTFS volume are kept. Accessing snapshots is a good way of browsing back in the history of files and folders. Select one drive that will be mounted read/write and thus can be used to store recovered files. Snapshots on this drive will not be available.";"<b>Zugriff auf Volume Shadow Snapshots</b>

Windows erstellt regelmäßig Schnappschüsse von NTFS-Laufwerken. Diese dienen in erster Linie als Wiederherstellungspunkte, falls Aktualisierungen schief laufen. Üblicherweise werden wenigstens drei Schnappschüsse pro Laufwerk vorgehalten. Durch Lesezugriff auf die Schnappschüsse können Sie frühere Dateiversionen wiederherstellen. Wählen Sie ein Laufwerk aus, das schreibbar eingebunden werden soll. VS-Snapshots auf diesem sind nicht zugänglich.";
"vss_locking";"<b>Access Virtual Shadow Snapshots</b>
	
Snapshots are mounted now. Use the file manager windows to browse through the files and copy them to the backup drive. When finished, close the file manager windows and press Cancel to unmount all virtual shadow snapshots.";"<b>Zugriff auf Virtual Shadow Snapshots</b>
	
Die Schnappschüsse sind nun lesbar eingebunden. Benutzen Sie die Dateimanager-Fenster um durch die Snapshots zu navigieren und gegebenenfalls Dateien zu kopieren. Wenn Sie fertig sind, beenden Sie die Dateimanager und klicken Sie auf ""Abbrechen"" um zum Startbildschirm zurückzukehren.";
"target";"Target device";"Ziellaufwerk";
"reread";"Reread drives";"Neu einlesen";
"backup_medium";"Backup partition";"Backup-Laufwerk";
"no_vss_found";"No of the drives connected to the computer contains a Volume Shadow Snapshot. Please cancel and go back.";"Keines der angeschlossenen Laufwerke enthält Volume Shadow Snapshots. Bitte klicken Sie auf ""Abbrechen"" um zurück zu gelangen.";
"vss_start";"<b>Access Volume Shadow Snapshots</b>
	
NTFS regularily takes snapshots of the complete filesystem in order to be able to roll back after updates. Usually at least three snapshots per NTFS volume are kept. Accessing snapshots is a good way of browsing back in the history of files and folders. Select one drive that will be mounted read/write and thus can be used to store recovered files. Snapshots on this drive will not be available.";"<b>Zugriff auf Volume Shadow Snapshots</b>

Windows erstellt regelmäßig Schnappschüsse von NTFS-Laufwerken. Diese dienen in erster Linie als Wiederherstellungspunkte, falls Aktualisierungen schief laufen. Üblicherweise werden wenigstens drei Schnappschüsse pro Laufwerk vorgehalten. Durch Lesezugriff auf die Schnappschüsse können Sie frühere Dateiversionen wiederherstellen. Wählen Sie ein Laufwerk aus, das schreibbar eingebunden werden soll. VS-Snapshots auf diesem sind nicht zugänglich.";
"vss_locking";"<b>Access Virtual Shadow Snapshots</b>
	
Snapshots are mounted now. Use the file manager windows to browse through the files and copy them to the backup drive. When finished, close the file manager windows and press Cancel to unmount all virtual shadow snapshots.";"<b>Zugriff auf Virtual Shadow Snapshots</b>
	
Die Schnappschüsse sind nun lesbar eingebunden. Benutzen Sie die Dateimanager-Fenster um durch die Snapshots zu navigieren und gegebenenfalls Dateien zu kopieren. Wenn Sie fertig sind, beenden Sie die Dateimanager und klicken Sie auf ""Abbrechen"" um zum Startbildschirm zurückzukehren.";
"target";"Target device";"Ziellaufwerk";
"reread";"Reread drives";"Neu einlesen";
"backup_medium";"Backup partition";"Backup-Laufwerk";
"no_vss_found";"No of the drives connected to the computer contains a Volume Shadow Snapshot. Please cancel and go back.";"Keines der angeschlossenen Laufwerke enthält Volume Shadow Snapshots. Bitte klicken Sie auf ""Abbrechen"" um zurück zu gelangen.";
