"";"en";"de";
"tile_photorec";"<b>File recovery</b>

Recover deleted files and rescue files from damaged disk drives";"<b>Datei-Wiederherstellung</b>

Spüren Sie gelöschte Dateien auf und retten Sie Daten von beschädigten Laufwerken";
"tile_vss";"<b>Access Volume Shadow Snapshots</b>

Mount VS snapshots to access old versions of files of files that have been deleted in the meanwhile";"<b>Zugriff auf Schattenkopien</b>

Greifen Sie auf Schattenkopien zu, um auf ältere Dateiversionen oder mittlerweile gelöschte Dateien zuzugreifen";
"tile_avira";"<b>Detect malicious software</b>

Use Aviras virus scanner to find out whether the computer is infected with malware";"<b>Schadsoftware aufspüren</b>

Finden Sie mit dem Virenscanner von Avira heraus, ob der untersuchte Computer infiziert ist";
"tile_sort";"<b>Sort recovered files</b>

Automatically sort recovered files based on metadata (like EXIF tags) embedded in the files";"<b>Wiederhergestellte Dateien sortieren</b>

Sortieren Sie wiederhergestellte Dateien anhand von ihren Metadaten (beispielsweise EXIF-Tags)";
"tile_firefox";"<b>Access Firefox profiles</b>

Search for Firefox profiles and recover passwords, caches and browsing history";"<b>Zugriff auf Firefox-Profile</b>

Lassen Sie nach Firefox-Profilen suchen und lesen Sie aus diesen Passwörter und Verläufe aus.";
"tile_jump";"<b>Windows jumplists</b>

Access file, folder and application history, which is available starting with Vista";"<b>Windows-Jumplists</b>

Lesen die Datei-, Verzeichnis- und Programmverläufe aus, ab Windows Vista möglich.";
"tile_outlook";"<b>Outlook mailboxes</b>

Find Outlook mailboxes, have them converted and open them in Thunderbird";"<b>Outlook-Mailboxen</b>

Lassen Sie nach Outlook-Mailboxen suchen, diese konvertieren und schließlich öffnen.";
"tile_history2";"<b>Browser and chat history</b>

View the history of Firefox, Internet Explorer, Chrome and Skype in an easily readable format";"<b>Browser- und Chat-Verläufe</b>

Finden Sie Verläufe von Firefox, Internet Explorer, Chrome und Skype und greifen Sie in Tabellenform darauf zu.";
"tile_ovas";"<b>OpenVAS</b>

Use OpenVAS to discover vulnerable and insecure devices in your network";"<b>OpenVAS</b>

Nutzen Sie OpenVAS, um verwundbare und unsichere Geräte im eigenen Netzwerk aufzuspüren.";
"tile_wireshark";"<b>Wireshark</b>

Analyze traffic of devices connected to your network with wireshark";"<b>Wireshark</b>

Analysieren Sie den Netzwerkverkehr von Geräten in Ihrem Netz mit Wireshark.";
"tile_nmap";"<b>Zenmap</b>

Use Zenmap to find out which computer in your network offers which services";"<b>Zenmap</b>

Verwenden Sie Zenmap, um herauszufinden welche Computer im Netz welche Dienste anbieten.";
"tile_ap";"<b>WiFi Access Point</b>

Start an WiFi access point to be able to analyze the network traffic of wireless devices";"<b>Access Point</b>

Starten Sie einen WLAN-Accesspoint, um auch den Verkehr ihrer drahtlosen Geräte untersuchen zu können.";
"tile_image";"<b>Create image</b>

Create a bit-identical image of a disk drive or a single partition for analyzing or mounting later";"<b>Datenträger-Abbild erstellen</b>

Erstellen Sie ein bitgetreues Abbild einer kompletten Festplatte oder einer Partition um es später zu analysieren.";
"tile_clone";"<b>Clone disk drive</b>

Clone a (damaged) disk drive bit-identical to a new drive of same or larger size";"<b>Festplatte klonen</b>

Klonen Sie eine (beschädigte) Festplatte bitgetreu auf eine zweite, wenigstens gleich große Festplatte.";
"tile_qemu";"<b>Run image in virtual machine</b>

Boot the image of a disk drive in QEMU. The image can be run without modifying the image.";"<b>Image in VM starten</b>

Starten Sie ein Festplatten-Abbild in der virtuellen Maschine QEMU. Die Ausführung ohne Änderungen ist möglich.";
"tile_wipe";"<b>Delete disk drive</b>

Delete a drive in a way that no recovery of the formely stored data is possible anymore";"<b>Festplatte löschen</b>

Löschen Sie einen Datenträger so, dass keine Wiederherstellung gespeicherter Daten möglich ist.";
"tile_photorec";"<b>File recovery</b>

Recover deleted files and rescue files from damaged disk drives";"<b>Datei-Wiederherstellung</b>

Spüren Sie gelöschte Dateien auf und retten Sie Daten von beschädigten Laufwerken";
"tile_vss";"<b>Access Volume Shadow Snapshots</b>

Mount VS snapshots to access old versions of files of files that have been deleted in the meanwhile";"<b>Zugriff auf Schattenkopien</b>

Greifen Sie auf Schattenkopien zu, um auf ältere Dateiversionen oder mittlerweile gelöschte Dateien zuzugreifen";
"tile_avira";"<b>Detect malicious software</b>

Use Aviras virus scanner to find out whether the computer is infected with malware";"<b>Schadsoftware aufspüren</b>

Finden Sie mit dem Virenscanner von Avira heraus, ob der untersuchte Computer infiziert ist";
